iter	Passed	Remaining
188	449	1927
189	451	1922
190	452	1917
191	454	1911
192	454	1902
193	455	1894
194	456	1885
195	457	1877
196	458	1868
197	458	1859
198	459	1851
199	460	1842
200	463	1840
201	464	1835
202	466	1833
203	468	1829
204	469	1821
205	470	1813
206	471	1805
207	472	1797
208	472	1789
209	474	1783
210	475	1776
211	476	1769
212	478	1766
213	479	1761
214	480	1755
215	481	1748
216	482	1741
217	483	1734
218	484	1726
219	484	1719
220	485	1712
221	486	1705
222	487	1698
223	488	1692
224	489	1686
225	492	1687
226	494	1684
227	497	1683
228	498	1677
229	498	1670
230	500	1665
231	501	1661
232	503	1656
233	504	1649
234	504	1643
235	507	1643
236	510	1641
237	511	1637
238	512	1631
239	513	1625
240	514	1619
241	515	1613
242	515	1607
243	516	1601
244	517	1595
245	518	1589
246	519	1583
247	523	1587
248	524	1583
249	526	1580
250	528	1575
251	528	1569
252	529	1564
253	530	1559
254	531	1552
255	532	1546
256	533	1541
257	533	1535
258	534	1529
259	537	1530
260	539	1527
261	540	1523
262	542	1519
263	543	1514
264	543	1508
265	544	1503
266	545	1498
267	546	1493
268	547	1487
269	548	1482
270	549	1477
271	553	1482
272	557	1484
273	558	1479
274	559	1474
275	560	1469
276	560	1463
277	561	1458
278	562	1453
279	563	1448
280	564	1443
281	564	1438
282	567	1438
283	569	1434
284	570	1431
285	572	1428
286	572	1423
287	573	1418
288	574	1413
289	575	1408
290	576	1404
291	577	1399
292	578	1395
293	579	1391
294	584	1397
295	586	1395
296	587	1390
297	588	1386
298	589	1381
299	590	1377
300	591	1373
301	591	1368
302	592	1363
303	593	1358
304	594	1354
305	595	1350
306	597	1347
307	599	1345
308	600	1342
309	601	1339
310	602	1334
311	603	1330
312	603	1325
313	604	1321
314	605	1316
315	606	1312
316	607	1308
317	608	1304
318	608	1299
319	611	1298
320	612	1295
321	613	1290
322	613	1286
323	614	1282
324	615	1278
325	616	1274
326	616	1269
327	617	1265
328	618	1261
329	619	1256
330	619	1252
331	620	1248
332	621	1244
333	624	1246
334	626	1243
335	627	1240
336	628	1236
337	629	1233
338	630	1229
339	631	1226
340	632	1222
341	633	1218
342	634	1214
343	634	1210
344	635	1206
345	638	1207
346	643	1211
347	644	1208
348	645	1204
349	646	1201
350	647	1197
351	648	1193
352	649	1190
353	650	1186
354	651	1183
355	655	1185
356	656	1182
357	657	1178
358	658	1175
359	659	1172
360	660	1168
361	660	1164
362	661	1160
363	662	1157
364	663	1153
365	663	1149
366	664	1146
367	665	1143
368	666	1140
369	668	1138
370	670	1137
371	671	1133
372	672	1130
373	673	1126
374	673	1123
375	674	1119
376	675	1116
377	676	1112
378	677	1109
379	678	1106
380	678	1102
381	679	1099
382	680	1096
383	683	1095
384	685	1094
385	686	1091
386	687	1088
387	687	1085
388	688	1081
389	689	1078
390	690	1074
391	690	1071
392	691	1068
393	692	1065
394	693	1062
395	694	1058
396	694	1055
397	696	1054
398	698	1051
399	699	1049
400	700	1046
401	701	1043
402	702	1040
403	703	1037
404	703	1034
405	706	1033
406	707	1030
407	708	1028
408	709	1024
409	710	1021
410	712	1021
411	714	1019
412	715	1017
413	716	1014
414	717	1011
415	718	1008
416	718	1005
417	719	1002
418	720	999
419	722	997
420	723	994
421	723	991
422	724	988
423	726	987
424	728	985
425	729	983
426	730	980
427	731	978
428	732	975
429	734	973
430	735	971
431	736	968
432	737	965
433	738	962
434	738	959
435	740	957
436	741	955
437	742	953
438	743	950
439	744	947
440	745	945
441	746	942
442	747	940
443	748	937
444	749	934
445	750	931
446	750	929
447	751	926
448	752	923
449	753	920
450	757	921
451	758	919
452	759	916
453	760	914
454	760	911
455	761	908
456	762	905
457	763	903
458	764	901
459	765	899
460	766	896
